Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score,Free_Time_Activity,Social_Media_Impact
93,21,Male,Undergraduate,North Macedonia,3.7,Snapchat,No,6.5,7,Single,2,6,"Играю в футбол, смотрю фильмы, читаю","Snapchat использую редко, для общения"
94,20,Female,High School,Kosovo,5.5,Instagram,Yes,5.4,5,In Relationship,4,8,"Танцую, встречаюсь с подругами, готовлю","Инстаграм помогает с идеями, но иногда трачу много времени"
95,23,Male,Graduate,Bosnia,2.4,LinkedIn,No,7.4,8,Complicated,1,4,"Путешествую, читаю, играю в теннис","LinkedIn для работы, в соцсетях не сижу"
96,19,Female,Undergraduate,Qatar,4.9,TikTok,Yes,5.7,6,Single,3,7,"Танцую, слушаю музыку, хожу по магазинам","TikTok для развлечения, но иногда забываю о времени"
97,18,Male,High School,Kuwait,5.7,Snapchat,Yes,5.3,5,In Relationship,4,8,"Играю в футбол, смотрю TikTok, гуляю","Snapchat для общения, но иногда ссорюсь с друзьями"
98,22,Female,Graduate,Bahrain,2.8,LinkedIn,No,7.1,8,Complicated,1,4,"Читаю, занимаюсь йогой, путешествую","LinkedIn использую для работы, в соцсетях не сижу"
99,20,Male,Undergraduate,Oman,4.6,Instagram,Yes,5.9,6,Single,3,7,"Играю в футбол, читаю, фотографирую","В Instagram выкладываю фото, это хобби, но иногда отвлекает"
100,21,Female,Undergraduate,Jordan,5.4,TikTok,Yes,5.5,5,In Relationship,4,8,"Танцую, готовлю, встречаюсь с подругами","TikTok помогает с рецептами, но иногда трачу много времени"
101,19,Male,High School,Lebanon,5.8,YouTube,Yes,5.2,5,Complicated,4,9,"Играю в футбол, смотрю YouTube, слушаю музыку","YouTube смотрю для развлечения, но из-за него мало сплю"
102,23,Female,Graduate,Iraq,2.5,LinkedIn,No,7.3,8,Single,1,4,"Читаю, вяжу, путешествую","LinkedIn для работы, в соцсетях не сижу"
103,20,Male,Undergraduate,Yemen,4.7,Facebook,Yes,5.8,6,In Relationship,3,7,"Играю в футбол, читаю, общаюсь с друзьями","Facebook использую для общения, но иногда отвлекает"
104,18,Female,High School,Syria,5.6,Instagram,Yes,5.4,5,Single,4,8,"Танцую, рисую, встречаюсь с подругами","Инстаграм для вдохновения, но иногда там негатив"
105,22,Male,Graduate,Afghanistan,2.9,LinkedIn,No,7.0,7,Complicated,2,5,"Читаю, играю в крикет, путешествую","LinkedIn использую редко, для работы"
106,19,Female,Undergraduate,Pakistan,4.8,TikTok,Yes,5.7,6,In Relationship,3,7,"Танцую, слушаю музыку, готовлю","TikTok для развлечения, но иногда отвлекает"
107,21,Male,Undergraduate,Nepal,3.8,YouTube,No,6.6,7,Single,2,6,"Играю в футбол, смотрю YouTube, читаю","YouTube смотрю для учебы, соцсети не мешают"
108,20,Female,High School,Bhutan,5.5,Snapchat,Yes,5.5,5,Complicated,4,8,"Танцую, пою, гуляю в горах","Snapchat для общения, но иногда ссорюсь с друзьями"
109,23,Male,Graduate,Sri Lanka,2.6,LinkedIn,No,7.2,8,In Relationship,1,4,"Путешествую, читаю, играю в шахматы","LinkedIn для работы, в соцсетях не сижу"
110,19,Female,Undergraduate,Maldives,4.9,Instagram,Yes,5.8,6,Single,3,7,"Танцую, фотографирую, плаваю","Инстаграм для фото, но иногда вызывает зависть"
111,20,Male,Undergraduate,Bangladesh,6.1,Instagram,Yes,6.2,5,Single,4,8,"Играю в крикет, смотрю фильмы, читаю","В Instagram сижу много, иногда учеба страдает"
112,21,Female,Undergraduate,India,5.8,TikTok,Yes,5.9,6,In Relationship,3,7,"Танцую, готовлю, смотрю сериалы","TikTok помогает с танцами, но иногда отвлекает"
113,19,Male,Undergraduate,Nepal,4.9,Facebook,No,7.1,7,Single,2,5,"Играю в футбол, читаю, путешествую","Facebook использую редко, для общения"
114,22,Female,Graduate,Pakistan,5.5,Instagram,Yes,6.0,5,Single,4,8,"Вяжу, читаю, готовлю","Инстаграм для идей, но иногда трачу много времени"
115,20,Male,Undergraduate,Sri Lanka,5.2,TikTok,Yes,6.3,6,In Relationship,3,7,"Играю в крикет, смотрю TikTok, слушаю музыку","TikTok отвлекает от учебы, но весело"
116,19,Female,Undergraduate,Maldives,4.8,Instagram,No,7.2,8,Single,2,5,"Плаваю, фотографирую, читаю","Инстаграм для фото, без фанатизма"
117,21,Male,Graduate,Bangladesh,6.0,Facebook,Yes,5.8,5,In Relationship,4,8,"Играю в крикет, читаю, работаю","Facebook использую для работы, но иногда залипаю"
118,20,Female,Undergraduate,India,5.7,Instagram,Yes,6.1,6,Single,3,7,"Танцую, готовлю, встречаюсь с подругами","Инстаграм помогает с рецептами, но иногда отвлекает"
119,22,Male,Graduate,Nepal,4.7,TikTok,No,7.3,7,Single,2,5,"Путешествую, читаю, играю в шахматы","TikTok смотрю редко, в основном для развлечения"
120,19,Female,Undergraduate,Pakistan,5.4,Instagram,Yes,6.2,5,In Relationship,4,8,"Вяжу, читаю, готовлю","Инстаграм для идей, но иногда трачу много времени"
121,20,Male,Undergraduate,Sri Lanka,5.9,Facebook,Yes,5.9,6,Single,3,7,"Играю в крикет, смотрю фильмы, читаю","Facebook для общения, но иногда отвлекает"
122,21,Female,Graduate,Maldives,4.6,Instagram,No,7.4,8,In Relationship,2,5,"Плаваю, фотографирую, читаю","Инстаграм для фото, без фанатизма"
123,19,Male,Undergraduate,Bangladesh,5.3,TikTok,Yes,6.3,5,Single,4,8,"Играю в крикет, смотрю TikTok, слушаю музыку","TikTok отвлекает от учебы, но весело"
124,22,Female,Graduate,India,5.8,Instagram,Yes,5.8,6,In Relationship,3,7,"Танцую, готовлю, смотрю сериалы","Инстаграм помогает с танцами, но иногда отвлекает"
125,20,Male,Undergraduate,Nepal,4.5,Facebook,No,7.5,7,Single,2,5,"Играю в футбол, читаю, путешествую","Facebook использую редко, для общения"
126,21,Female,Graduate,Pakistan,5.2,Instagram,Yes,6.4,5,In Relationship,4,8,"Вяжу, читаю, готовлю","Инстаграм для идей, но иногда трачу много времени"
127,19,Male,Undergraduate,Sri Lanka,5.7,TikTok,Yes,5.7,6,Single,3,7,"Играю в крикет, смотрю TikTok, слушаю музыку","TikTok отвлекает от учебы, но весело"
128,20,Female,Undergraduate,Maldives,4.4,Instagram,No,7.6,8,In Relationship,2,5,"Плаваю, фотографирую, читаю","Инстаграм для фото, без фанатизма"
129,22,Male,Graduate,Bangladesh,5.1,Facebook,Yes,6.5,5,Single,4,8,"Играю в крикет, читаю, работаю","Facebook использую для работы, но иногда залипаю"
130,21,Female,Graduate,India,5.6,Instagram,Yes,5.6,6,In Relationship,3,7,"Танцую, готовлю, смотрю сериалы","Инстаграм помогает с танцами, но иногда отвлекает"
131,19,Male,Undergraduate,Nepal,4.3,TikTok,No,7.7,7,Single,2,5,"Путешествую, читаю, играю в шахматы","TikTok смотрю редко, в основном для развлечения"
132,20,Female,Undergraduate,Pakistan,5.0,Instagram,Yes,6.6,5,In Relationship,4,8,"Вяжу, читаю, готовлю","Инстаграм для идей, но иногда трачу много времени"
133,22,Male,Graduate,Sri Lanka,5.5,Facebook,Yes,5.5,6,Single,3,7,"Играю в крикет, смотрю фильмы, читаю","Facebook для общения, но иногда отвлекает"
134,21,Female,Graduate,Maldives,4.2,Instagram,No,7.8,8,In Relationship,2,5,"Плаваю, фотографирую, читаю","Инстаграм для фото, без фанатизма"
135,19,Male,Undergraduate,Bangladesh,4.9,TikTok,Yes,6.7,5,Single,4,8,"Играю в крикет, смотрю TikTok, слушаю музыку","TikTok отвлекает от учебы, но весело"
136,20,Female,Undergraduate,India,5.4,Instagram,Yes,5.4,6,In Relationship,3,7,"Танцую, готовлю, смотрю сериалы","Инстаграм помогает с танцами, но иногда отвлекает"
137,22,Male,Graduate,Nepal,4.1,Facebook,No,7.9,7,Single,2,5,"Играю в футбол, читаю, путешествую","Facebook использую редко, для общения"
138,21,Female,Graduate,Pakistan,4.8,Instagram,Yes,6.8,5,In Relationship,4,8,"Вяжу, читаю, готовлю","Инстаграм для идей, но иногда трачу много времени"
139,19,Male,Undergraduate,Sri Lanka,5.3,TikTok,Yes,5.3,6,Single,3,7,"Играю в крикет, смотрю TikTok, слушаю музыку","TikTok отвлекает от учебы, но весело"
140,20,Female,Undergraduate,Maldives,4.0,Instagram,No,8.0,8,In Relationship,2,5,"Плаваю, фотографирую, читаю","Инстаграм для фото, без фанатизма"
141,22,Male,Graduate,Bangladesh,4.7,Facebook,Yes,6.9,5,Single,4,8,"Играю в крикет, читаю, работаю","Facebook использую для работы, но иногда залипаю"
142,21,Female,Graduate,India,5.2,Instagram,Yes,5.2,6,In Relationship,3,7,"Танцую, готовлю, смотрю сериалы","Инстаграм помогает с танцами, но иногда отвлекает"
143,19,Male,Undergraduate,Nepal,3.9,TikTok,No,8.1,7,Single,2,5,"Путешествую, читаю, играю в шахматы","TikTok смотрю редко, в основном для развлечения"
144,20,Female,Undergraduate,Pakistan,4.6,Instagram,Yes,7.0,5,In Relationship,4,8,"Вяжу, читаю, готовлю","Инстаграм для идей, но иногда трачу много времени"
145,22,Male,Graduate,Sri Lanka,5.1,Facebook,Yes,5.1,6,Single,3,7,"Играю в крикет, смотрю фильмы, читаю","Facebook для общения, но иногда отвлекает"
146,21,Female,Graduate,Maldives,3.8,Instagram,No,8.2,8,In Relationship,2,5,"Плаваю, фотографирую, читаю","Инстаграм для фото, без фанатизма"
147,19,Male,Undergraduate,Bangladesh,4.5,TikTok,Yes,7.1,5,Single,4,8,"Играю в крикет, смотрю TikTok, слушаю музыку","TikTok отвлекает от учебы, но весело"
148,20,Female,Undergraduate,India,5.0,Instagram,Yes,5.0,6,In Relationship,3,7,"Танцую, готовлю, смотрю сериалы","Инстаграм помогает с танцами, но иногда отвлекает"
149,22,Male,Graduate,Nepal,3.7,Facebook,No,8.3,7,Single,2,5,"Играю в футбол, читаю, путешествую","Facebook использую редко, для общения"
150,21,Female,Graduate,Pakistan,4.4,Instagram,Yes,7.2,5,In Relationship,4,8,"Вяжу, читаю, готовлю","Инстаграм для идей, но иногда трачу много времени"
151,19,Male,Undergraduate,Sri Lanka,4.9,TikTok,Yes,4.9,6,Single,3,7,"Играю в крикет, смотрю TikTok, слушаю музыку","TikTok отвлекает от учебы, но весело"
152,20,Female,Undergraduate,Maldives,3.6,Instagram,No,8.4,8,In Relationship,2,5,"Плаваю, фотографирую, читаю","Инстаграм для фото, без фанатизма"
153,22,Male,Graduate,Bangladesh,4.3,Facebook,Yes,7.3,5,Single,4,8,"Играю в крикет, читаю, работаю","Facebook использую для работы, но иногда залипаю"
154,21,Female,Graduate,India,4.8,Instagram,Yes,4.8,6,In Relationship,3,7,"Танцую, готовлю, смотрю сериалы","Инстаграм помогает с танцами, но иногда отвлекает"
155,19,Male,Undergraduate,Nepal,3.5,TikTok,No,8.5,7,Single,2,5,"Путешествую, читаю, играю в шахматы","TikTok смотрю редко, в основном для развлечения"
156,20,Female,Undergraduate,Pakistan,4.2,Instagram,Yes,7.4,5,In Relationship,4,8,"Вяжу, читаю, готовлю","Инстаграм для идей, но иногда трачу много времени"
157,22,Male,Graduate,Sri Lanka,4.7,Facebook,Yes,4.7,6,Single,3,7,"Играю в крикет, смотрю фильмы, читаю","Facebook для общения, но иногда отвлекает"
158,21,Female,Graduate,Maldives,3.4,Instagram,No,8.6,8,In Relationship,2,5,"Плаваю, фотографирую, читаю","Инстаграм для фото, без фанатизма"
159,19,Male,Undergraduate,Bangladesh,4.1,TikTok,Yes,7.5,5,Single,4,8,"Играю в крикет, смотрю TikTok, слушаю музыку","TikTok отвлекает от учебы, но весело"
160,20,Female,Undergraduate,India,4.6,Instagram,Yes,4.6,6,In Relationship,3,7,"Танцую, готовлю, смотрю сериалы","Инстаграм помогает с танцами, но иногда отвлекает"
161,19,Female,Undergraduate,Bangladesh,5.3,Instagram,Yes,6.1,5,Single,3,7,"Читаю, вяжу, слушаю музыку","Инстаграм помогает находить идеи для вязания, но иногда отвлекает"
162,21,Male,Graduate,India,4.8,Facebook,No,7.2,7,In Relationship,2,6,"Играю в крикет, читаю, работаю","Facebook использую для работы, редко"
163,20,Female,Undergraduate,Nepal,5.5,TikTok,Yes,5.9,6,Single,4,8,"Танцую, готовлю, смотрю сериалы","TikTok помогает с танцами, но иногда трачу много времени"
164,22,Male,Graduate,Pakistan,4.7,Instagram,Yes,6.3,5,In Relationship,3,7,"Читаю, играю в шахматы, путешествую","Инстаграм для вдохновения, но иногда отвлекает"
165,19,Female,Undergraduate,Sri Lanka,5.1,Facebook,No,7.0,7,Single,2,5,"Плаваю, фотографирую, читаю","Facebook использую редко, для общения"
166,21,Male,Graduate,Maldives,5.4,TikTok,Yes,6.0,6,In Relationship,4,8,"Играю в футбол, смотрю TikTok, слушаю музыку","TikTok отвлекает от работы, но весело"
167,20,Female,Undergraduate,Bangladesh,4.9,Instagram,Yes,6.4,5,Single,3,7,"Вяжу, готовлю, смотрю фильмы","Инстаграм для идей, но иногда трачу много времени"
168,22,Male,Graduate,India,5.2,Facebook,No,7.1,7,In Relationship,2,6,"Читаю, играю в крикет, путешествую","Facebook использую редко, для новостей"
169,19,Female,Undergraduate,Nepal,5.6,TikTok,Yes,5.8,6,Single,4,8,"Танцую, слушаю музыку, гуляю","TikTok помогает с танцами, но иногда отвлекает"
170,21,Male,Graduate,Pakistan,4.6,Instagram,Yes,6.5,5,In Relationship,3,7,"Играю в шахматы, читаю, работаю","Инстаграм для вдохновения, но иногда залипаю"
171,20,Female,Undergraduate,Sri Lanka,5.0,Facebook,No,7.3,7,Single,2,5,"Плаваю, фотографирую, читаю","Facebook использую редко, для общения"
172,22,Male,Graduate,Maldives,5.3,TikTok,Yes,5.7,6,In Relationship,4,8,"Играю в футбол, смотрю TikTok, слушаю музыку","TikTok отвлекает от работы, но весело"
173,19,Female,Undergraduate,Bangladesh,4.8,Instagram,Yes,6.6,5,Single,3,7,"Вяжу, готовлю, смотрю фильмы","Инстаграм для идей, но иногда трачу много времени"
174,21,Male,Graduate,India,5.1,Facebook,No,7.4,7,In Relationship,2,6,"Читаю, играю в крикет, путешествую","Facebook использую редко, для новостей"
175,20,Female,Undergraduate,Nepal,5.7,TikTok,Yes,5.6,6,Single,4,8,"Танцую, слушаю музыку, гуляю","TikTok помогает с танцами, но иногда отвлекает"
176,22,Male,Graduate,Pakistan,4.5,Instagram,Yes,6.7,5,In Relationship,3,7,"Играю в шахматы, читаю, работаю","Инстаграм для вдохновения, но иногда залипаю"
177,19,Female,Undergraduate,Sri Lanka,4.9,Facebook,No,7.5,7,Single,2,5,"Плаваю, фотографирую, читаю","Facebook использую редко, для общения"
178,21,Male,Graduate,Maldives,5.2,TikTok,Yes,5.5,6,In Relationship,4,8,"Играю в футбол, смотрю TikTok, слушаю музыку","TikTok отвлекает от работы, но весело"
179,20,Female,Undergraduate,Bangladesh,4.7,Instagram,Yes,6.8,5,Single,3,7,"Вяжу, готовлю, смотрю фильмы","Инстаграм для идей, но иногда трачу много времени"
180,22,Male,Graduate,India,5.0,Facebook,No,7.6,7,In Relationship,2,6,"Читаю, играю в крикет, путешествую","Facebook использую редко, для новостей"
181,19,Female,Undergraduate,Nepal,5.8,TikTok,Yes,5.4,6,Single,4,8,"Танцую, слушаю музыку, гуляю","TikTok помогает с танцами, но иногда отвлекает"
182,21,Male,Graduate,Pakistan,4.4,Instagram,Yes,6.9,5,In Relationship,3,7,"Играю в шахматы, читаю, работаю","Инстаграм для вдохновения, но иногда залипаю"
183,20,Female,Undergraduate,Sri Lanka,4.8,Facebook,No,7.7,7,Single,2,5,"Плаваю, фотографирую, читаю","Facebook использую редко, для общения"
184,22,Male,Graduate,Maldives,5.1,TikTok,Yes,5.3,6,In Relationship,4,8,"Играю в футбол, смотрю TikTok, слушаю музыку","TikTok отвлекает от работы, но весело"
185,19,Female,Undergraduate,Bangladesh,4.6,Instagram,Yes,7.0,5,Single,3,7,"Вяжу, готовлю, смотрю фильмы","Инстаграм для идей, но иногда трачу много времени"
186,21,Male,Graduate,India,4.9,Facebook,No,7.8,7,In Relationship,2,6,"Читаю, играю в крикет, путешествую","Facebook использую редко, для новостей"
187,20,Female,Undergraduate,Nepal,5.9,TikTok,Yes,5.2,6,Single,4,8,"Танцую, слушаю музыку, гуляю","TikTok помогает с танцами, но иногда отвлекает"
188,22,Male,Graduate,Pakistan,4.3,Instagram,Yes,7.1,5,In Relationship,3,7,"Играю в шахматы, читаю, работаю","Инстаграм для вдохновения, но иногда залипаю"
189,19,Female,Undergraduate,Sri Lanka,4.7,Facebook,No,7.9,7,Single,2,5,"Плаваю, фотографирую, читаю","Facebook использую редко, для общения"
190,21,Male,Graduate,Maldives,5.0,TikTok,Yes,5.1,6,In Relationship,4,8,"Играю в футбол, смотрю TikTok, слушаю музыку","TikTok отвлекает от работы, но весело"
191,20,Female,Undergraduate,Bangladesh,4.5,Instagram,Yes,7.2,5,Single,3,7,"Вяжу, готовлю, смотрю фильмы","Инстаграм для идей, но иногда трачу много времени"
192,22,Male,Graduate,India,4.8,Facebook,No,8.0,7,In Relationship,2,6,"Читаю, играю в крикет, путешествую","Facebook использую редко, для новостей"
193,19,Female,Undergraduate,Nepal,6.0,TikTok,Yes,5.0,6,Single,4,8,"Танцую, слушаю музыку, гуляю","TikTok помогает с танцами, но иногда отвлекает"
194,21,Male,Graduate,Pakistan,4.2,Instagram,Yes,7.3,5,In Relationship,3,7,"Играю в шахматы, читаю, работаю","Инстаграм для вдохновения, но иногда залипаю"
195,20,Female,Undergraduate,Sri Lanka,4.6,Facebook,No,8.1,7,Single,2,5,"Плаваю, фотографирую, читаю","Facebook использую редко, для общения"
196,22,Male,Graduate,Maldives,4.9,TikTok,Yes,4.9,6,In Relationship,4,8,"Играю в футбол, смотрю TikTok, слушаю музыку","TikTok отвлекает от работы, но весело"
197,19,Female,Undergraduate,Bangladesh,4.4,Instagram,Yes,7.4,5,Single,3,7,"Вяжу, готовлю, смотрю фильмы","Инстаграм для идей, но иногда трачу много времени"
198,21,Male,Graduate,India,4.7,Facebook,No,8.2,7,In Relationship,2,6,"Читаю, играю в крикет, путешествую","Facebook использую редко, для новостей"
199,20,Female,Undergraduate,Nepal,6.1,TikTok,Yes,4.8,6,Single,4,8,"Танцую, слушаю музыку, гуляю","TikTok помогает с танцами, но иногда отвлекает"
200,22,Male,Graduate,Pakistan,4.1,Instagram,Yes,7.5,5,In Relationship,3,7,"Играю в шахматы, читаю, работаю","Инстаграм для вдохновения, но иногда залипаю"
